logFC	logCPM	LR	PValue	FDR
ART3	4.43740130799434	3.45510837346244	795.739948638966	4.55277353964131e-175	3.50518034816984e-171
EN1	4.49314948364709	4.46918621127017	568.803385207782	1.02238162994338e-125	3.93565808446704e-122
MTHFD1L	2.07272035563151	4.74498811103563	548.687440987997	2.42954896053959e-121	6.23503248239809e-118
CLDN6	5.91777083071366	1.7353891418826	528.070986875123	7.42365057931333e-117	1.42886714525333e-113
CENPW	2.62836465735108	3.806890575867	523.093335007428	8.98565415911648e-116	1.38361102742076e-112
IL12RB2	3.98107845689082	3.08098854485175	507.230914628956	2.53916860568776e-112	3.25817651586501e-109
TTLL4	1.85733060260904	5.44108808151166	504.003573991115	1.27902865726975e-111	1.40674880461711e-108
CXorf49B	6.00705204127499	1.67858557396126	484.633865475077	2.09621039257855e-107	2.01734047655778e-104
GFRA3	4.89060864860764	1.72504168664765	468.762106147854	5.95859982101994e-104	5.09725111355917e-101
HAPLN3	2.73761658830448	5.21577451951572	460.303272924639	4.12946592950326e-102	3.17927581912456e-99
PSAT1	3.74941108387817	4.72379221817709	457.600559362068	1.59975665605641e-101	1.11968422681621e-98
CA12	-4.20750601775056	8.82760859430227	452.143371134347	2.46411601390593e-100	1.58093576592181e-97
FOXC1	3.20095124336643	5.63296520021483	441.606289133976	4.84013224409753e-98	2.86647524210053e-95
ANP32E	1.75967826696374	6.79796541967793	438.091710512254	2.81686208506614e-97	1.54907294235173e-94
DEK	1.53246443070869	7.5735518257872	430.424610171385	1.31362613784544e-95	6.74240509018137e-93
TBC1D9	-3.36558129388097	8.97808973314468	412.975179092075	8.25110346000501e-92	3.97032784616116e-89
ORC6L	1.74593599830296	4.64619055691092	411.075519595658	2.13803207965805e-91	9.68276998899253e-89
LOC84740	4.84523265210191	3.27182900738836	403.534696651046	9.36448667310674e-90	4.0053990497916e-87
PGBD5	3.3322353724277	3.56066291152911	400.990442667484	3.35218820588248e-89	1.35834194721522e-86
LRP8	2.22954827731217	3.64237861440363	400.271546405024	4.80642825033767e-89	1.85023455496749e-86
CPA4	2.76952817113883	3.28462771105634	396.882949808074	2.62714385551804e-88	9.63160978268256e-86
MCM7	1.3412062144872	7.04978036980298	394.347236507308	9.36465694421067e-88	3.21978671979513e-85
E2F3	1.54399957090547	5.40307791791451	394.293818929424	9.61879394145836e-88	3.21978671979513e-85
CTPS	1.56775725840369	5.37499794055158	387.077630916185	3.58167858034822e-86	1.14897264125421e-83
MCM5	1.32304127106054	5.84687230919991	385.022147283471	1.00364350152281e-85	3.09082052728964e-83
SOX11	3.91083679320671	4.20927809551551	384.695332119308	1.18230612549428e-85	3.50099033083864e-83
CDCA8	2.28989487627025	4.75557197703939	383.30999299837	2.36772831113478e-85	6.75153343238026e-83
MICALL1	1.48911983227418	5.6261762764986	380.619325585111	9.12272573955986e-85	2.50842376674541e-82
CDK2AP1	1.54053355525731	7.69630060273279	378.886566379811	2.17457385665471e-84	5.77311866289125e-82
CDC20	2.4480594041799	5.4760020217136	376.281909972987	8.02524347875236e-84	2.05954498476382e-81
SLC22A20	1.90420988750005	3.76444882745821	374.61735159999	1.84871574219584e-83	4.5913749997309e-81
CDKN2A	3.02827678560563	4.293815254144	373.905905430621	2.64100557255479e-83	6.35409434471854e-81
NASP	1.18844919978027	6.98488924013541	371.275031091877	9.87601156830659e-83	2.30410342619371e-80
ANXA9	-3.04151478585194	5.13222430857748	368.795743122947	3.42294006031416e-82	7.75094574245845e-80
CDCA2	2.61090275762179	3.68245758199994	368.24711515187	4.50665057786843e-82	9.91334365685973e-80
C8orf46	3.82239368486917	2.79363434911408	368.138599977672	4.7586231447942e-82	1.01768443310474e-79
TTK	2.3176235595411	4.29638428491426	365.833882676644	1.51112606938394e-81	3.14436746167216e-79
RFC4	1.44243401673999	4.65176887217231	365.366885406587	1.90978176064422e-81	3.86931836189471e-79
PRKX	1.63758717041352	5.67721056389763	364.920087274231	2.38929070553595e-81	4.71670490818495e-79
PLOD1	1.53470267223224	7.92001054839473	359.624263313698	3.39937956385114e-80	6.51524731829944e-78
XBP1	-2.60514501129705	10.9338540275672	359.583478585448	3.46960826146613e-80	6.51524731829944e-78
STMN1	1.83402776764554	8.03732610919316	359.366723956418	3.86792753267666e-80	7.09027954144705e-78
NAT1	-5.21725649202054	7.29685768294649	358.759091811581	5.24553061333828e-80	9.39193957955615e-78
B3GNT5	2.40829946106798	4.6095180518214	358.435392933039	6.16985106573635e-80	1.079583712616e-77
SLC7A8	-2.68338656990728	7.26104905363652	357.427467667234	1.02270642056118e-79	1.74973705153346e-77
CKS1B	1.40096404576104	6.1952741850117	357.334813928579	1.0713379087879e-79	1.79309359994739e-77
RANBP1	1.21128107572479	6.13218509512481	356.840074545471	1.37295706724883e-79	2.24902052356356e-77
YBX1	1.40114416911838	8.98527265624922	354.38501410411	4.70172668190641e-79	7.54137369249947e-77
FAM171A1	2.16826528486445	5.41252245950839	352.667666937488	1.11230411858887e-78	1.7476794712277e-76
LMO4	2.18541288661944	6.8391582224174	352.58266585731	1.16073571190756e-78	1.78730084919526e-76
PRR4	3.99166278401057	4.1347604283294	351.597430594143	1.90229862572578e-78	2.87172492538485e-76
PPP1R14C	3.79687376458019	4.04966691712657	349.785435118439	4.71915441869136e-78	6.98707112875092e-76
COL9A3	3.98732693136646	4.35122574267981	348.254370227148	1.01689917879924e-77	1.47718995803308e-75
C4orf40	4.21269854677065	2.49796155460126	347.931866070507	1.19538782745014e-77	1.70431312658123e-75
ECEL1	4.88301245951259	3.34228112092735	347.09310346102	1.82039214399194e-77	2.54821802119891e-75
TCF19	1.52756316639085	5.03914640293372	343.407718992282	1.15542231286638e-76	1.58849935477827e-74
ILF2	1.1357275035823	8.36366080719382	341.103894944014	3.66828486230572e-76	4.95475879910381e-74
MFI2	2.82461435377271	5.02330362136133	340.732030297297	4.4202611142657e-76	5.8675155721951e-74
IMPA2	1.84622377500476	4.98501211429674	339.248498689359	9.30110913274546e-76	1.21371591886453e-73
MAPT	-3.65768672163366	7.13754850446146	338.290485978022	1.50374798863771e-75	1.92955929408695e-73
ASNS	1.66892844793955	5.35497347037643	337.041737577843	2.81277951863162e-75	3.5500966416303e-73
AMTN	5.35976932723919	1.31179770235471	334.018777506846	1.28087880631629e-74	1.59056224674663e-72
ABAT	-3.15264388588815	6.23230305531462	330.414802131126	7.8062610346415e-74	9.53974661995316e-72
C4orf7	6.78951674480195	8.64308983778377	329.216147930096	1.42400656171872e-73	1.71303539354257e-71
RBM17	1.00322459938419	6.59153286619013	328.982371287567	1.60113986672712e-73	1.89648858983571e-71
MCM3	1.13567149741693	7.24796107909484	327.452180272216	3.44915190253522e-73	4.02348795418464e-71
LBR	1.45805170807443	5.87108028028957	326.180636283384	6.52625971695848e-73	7.49935426281543e-71
UCK2	1.33206641175434	5.08023401022332	325.19165791431	1.07170110448756e-72	1.21338629462495e-70
MELK	2.17956783048549	4.54512631660375	324.623365955091	1.42512912695996e-72	1.59015494905285e-70
NT5DC2	1.5574027988932	5.86018923641305	324.519139971114	1.50160569970393e-72	1.65155175457436e-70
FOXM1	2.4352780996493	5.96503145358136	324.447099537679	1.55685156266751e-72	1.68819720858833e-70
FSCN1	1.85003721582109	6.69145205710277	318.862084654819	2.56309791648642e-71	2.7407348415318e-69
ATP6V1C2	1.30677357980333	5.48052732914724	317.643472709976	4.7229108409267e-71	4.98105350195818e-69
SLC43A3	1.62246995617507	6.36543868870772	316.247596686687	9.51197681957419e-71	9.89631209917591e-69
GMPS	1.10921141919655	6.69343163275734	316.029802716063	1.06099370739222e-70	1.08914540709503e-68
CTSL2	2.62352023840467	3.35668642754541	315.486177067538	1.39357754162852e-70	1.41173072276289e-68
KHDRBS3	1.96350732382481	4.28251621391809	314.012497393418	2.91841437114172e-70	2.91803535628832e-68
RASD2	2.4804924179819	4.65488491669023	313.689057767864	3.43244316868902e-70	3.38799743022267e-68
SEPHS1	1.0623425867037	6.39012942070894	313.547427586694	3.68515200716143e-70	3.59139054470074e-68
KIAA0020	1.18517888587001	5.59247895617695	312.752048174389	5.49184060339256e-70	5.28521010068991e-68
KDM4B	-1.7634171417263	7.15273398635974	310.729624450631	1.51454265832973e-69	1.43956344771365e-67
DEGS2	-4.049674065789	5.85702617202199	309.478557928476	2.8367276406543e-69	2.66341050065822e-67
YEATS2	1.0937489162767	6.00846812308848	308.284584966691	5.16320779051446e-69	4.78934178062299e-67
SRPK1	1.16879876129895	6.52874682332546	307.64459099526	7.1177201250091e-69	6.52372943362441e-67
IFRD1	1.50868102891497	5.43407802643171	307.396036126092	8.0628447636476e-69	7.30304021592034e-67
GTPBP4	1.22593557179253	6.49925719124088	306.929182226949	1.01904241310628e-68	9.12279946337816e-67
KIF2C	2.2812606243105	4.94713998947264	306.223426389461	1.4519172633381e-68	1.28486333453334e-66
RIOK1	1.17337984108276	5.1618601588626	304.557132558282	3.34927000522875e-68	2.93023065571093e-66
RRP1B	0.914940996270279	6.19684246096064	304.324485346388	3.76386230408103e-68	3.25595234596852e-66
KIAA1370	-1.987472226067	6.57879723794096	303.776797942331	4.95394467554922e-68	4.23782445078372e-66
